ENSEMBL	ESC	ESC	HB	HB
ENSG00000142949	8938	8161	12535	12935
ENSG00000142959	23	26	11	15
ENSG00000142961	92	52	221	199
ENSG00000142973	1	2	100	79
ENSG00000143001	5	8	2	13
ENSG00000143006	1	3	0	0
ENSG00000143013	1186	1247	644	556
ENSG00000143028	73	69	59	57
ENSG00000143032	1	1	0	0
ENSG00000143033	3125	2725	629	651
ENSG00000143036	131	103	606	564
ENSG00000143061	1836	1366	2768	2754
ENSG00000143067	629	935	281	246
ENSG00000143079	831	745	668	555
ENSG00000143093	834	586	970	968
ENSG00000143105	0	0	0	0
ENSG00000143106	2023	2628	1428	1139
ENSG00000143107	4	0	3	2
ENSG00000143110	16	14	19	15
ENSG00000143119	11	8	0	0
ENSG00000143125	1	1	1	0
ENSG00000143126	2274	824	87	77
ENSG00000143127	30	3	11	6
ENSG00000143147	410	407	1833	1725
ENSG00000143149	1826	1969	1305	1093
ENSG00000143153	1143	1307	4171	4652
ENSG00000143155	737	765	1068	1002
ENSG00000143156	323	275	91	75
ENSG00000143157	1861	1687	587	570
ENSG00000143158	347	409	3696	3049
ENSG00000143162	601	608	1646	1605
ENSG00000143164	459	295	1321	1221
ENSG00000143167	11	4	3	1
ENSG00000143171	1	1	2	5
ENSG00000143178	36	45	71	52
ENSG00000143179	2189	1854	207	231
ENSG00000143183	640	729	2279	2223
ENSG00000143184	7	6	5	12
ENSG00000143185	1	0	0	0
ENSG00000143190	3521	1927	789	778
ENSG00000143194	6	6	1	1
ENSG00000143195	66	35	198	198
ENSG00000143196	0	0	0	0
ENSG00000143198	947	1796	3455	3382
ENSG00000143199	1	1	230	186
ENSG00000143207	1059	875	981	963
ENSG00000143217	5	5	1	2
ENSG00000143222	872	1013	1042	804
ENSG00000143224	407	331	536	480
ENSG00000143226	4	7	42	24
ENSG00000143228	565	567	17	24
ENSG00000143248	781	256	627	616
ENSG00000143252	2335	2620	3400	2601
ENSG00000143256	465	835	289	280
ENSG00000143257	7	7	417	296
ENSG00000143258	532	551	501	421
ENSG00000143294	1577	1164	1525	1489
ENSG00000143297	41	16	12	19
ENSG00000143303	428	325	277	278
ENSG00000143314	362	412	390	310
ENSG00000143315	350	302	336	338
ENSG00000143318	19	9	30	30
ENSG00000143319	1138	1194	1025	982
ENSG00000143320	2897	2564	112	71
ENSG00000143321	8648	8231	3217	3095
ENSG00000143322	1285	953	617	654
ENSG00000143324	1865	1730	1554	1372
ENSG00000143333	335	349	25	38
ENSG00000143337	554	510	3217	2958
ENSG00000143340	6	3	254	239
ENSG00000143341	495	677	12	11
ENSG00000143344	49	34	717	680
ENSG00000143353	284	282	290	291
ENSG00000143355	0	1	1	0
ENSG00000143363	847	877	1200	1197
ENSG00000143365	8	1	0	0
ENSG00000143367	398	353	1448	1497
ENSG00000143368	1399	1702	898	921
ENSG00000143369	19	12	23	17
ENSG00000143373	1620	1314	663	632
ENSG00000143374	967	857	402	375
ENSG00000143375	1720	1453	7736	7544
ENSG00000143376	1798	1148	2745	2651
ENSG00000143379	1270	1154	765	641
ENSG00000143382	158	137	505	478
ENSG00000143384	6503	6740	2678	2851
ENSG00000143387	76	127	275	273
ENSG00000143390	1761	1506	352	325
ENSG00000143393	885	758	1626	1566
ENSG00000143398	2792	2117	1410	1294
ENSG00000143401	5316	3351	483	554
ENSG00000143409	215	189	281	260
ENSG00000143412	58	27	560	471
ENSG00000143416	427	302	560	472
ENSG00000143418	3682	4474	9939	9464
ENSG00000143420	2320	3850	2465	2127
ENSG00000143429	21	18	71	55
ENSG00000143434	341	362	908	955
ENSG00000143436	829	822	585	539
ENSG00000143437	1033	1164	1642	1625
ENSG00000143442	3546	2309	2298	2138
ENSG00000143443	55	40	113	96
ENSG00000143450	7	4	40	40
ENSG00000143452	0	0	0	0
ENSG00000143457	959	1096	354	350
ENSG00000143458	173	56	159	178
ENSG00000143469	709	477	94	71
ENSG00000143473	8	3	2	3
ENSG00000143476	1942	1290	54	82
ENSG00000143479	147	165	59	65
ENSG00000143486	1046	1073	816	714
ENSG00000143493	711	566	686	647
ENSG00000143494	4574	5715	72	64
ENSG00000143498	213	208	38	48
ENSG00000143499	60	111	420	379
ENSG00000143502	107	28	24	25
ENSG00000143507	25	25	22	18
ENSG00000143512	1	0	5	1
ENSG00000143514	1742	1301	1904	1735
ENSG00000143515	1572	1171	1897	1873
ENSG00000143520	0	1	1	0
ENSG00000143536	0	0	0	0
ENSG00000143537	561	746	31	54
ENSG00000143543	1062	1505	1049	934
ENSG00000143545	2084	1422	659	534
ENSG00000143546	0	0	0	0
ENSG00000143549	8473	10216	7050	7232
ENSG00000143552	4	0	5	4
ENSG00000143553	309	354	474	388
ENSG00000143554	0	0	87	96
ENSG00000143556	0	0	0	0
ENSG00000143569	5222	4382	3967	3534
ENSG00000143570	3767	4576	2121	2194
ENSG00000143575	1317	1381	1097	955
ENSG00000143578	773	569	65	58
ENSG00000143590	211	185	29	34
ENSG00000143595	0	0	115	137
ENSG00000143603	213	75	5	6
ENSG00000143612	2872	4186	2264	2117
ENSG00000143614	555	381	514	352
ENSG00000143621	7646	9076	4842	4156
ENSG00000143622	548	542	1442	1272
ENSG00000143624	1695	875	1350	1220
ENSG00000143627	115	70	5	5
ENSG00000143630	88	0	106	118
ENSG00000143631	0	0	0	0
ENSG00000143632	180	348	6135	4407
ENSG00000143633	172	186	536	578
ENSG00000143641	2114	2655	4956	5245
ENSG00000143643	168	179	517	533
ENSG00000143653	589	439	1127	1073
ENSG00000143669	15	20	259	310
ENSG00000143674	1082	797	219	244
ENSG00000143702	2696	1941	285	573
ENSG00000143727	2758	3240	2092	1997
ENSG00000143740	540	677	494	481
ENSG00000143742	8141	9527	5548	5488
ENSG00000143748	934	586	355	385
ENSG00000143751	654	525	636	550
ENSG00000143753	827	705	2227	2336
ENSG00000143756	1356	917	871	840
ENSG00000143761	3961	6501	5994	5665
ENSG00000143768	61	141	3	7
ENSG00000143771	1753	1570	1099	972
ENSG00000143772	297	188	29	26
ENSG00000143774	512	775	1383	1282
ENSG00000143776	1468	1015	1372	1379
ENSG00000143786	81	92	54	77
ENSG00000143793	202	167	161	184
ENSG00000143797	733	583	157	174
ENSG00000143799	13006	10360	3098	2787
ENSG00000143801	616	573	687	667
ENSG00000143811	1293	1542	571	527
ENSG00000143815	1987	2358	1277	1362
ENSG00000143816	79	42	21	26
ENSG00000143819	663	1144	4134	4107
ENSG00000143839	0	1	2	0
ENSG00000143842	3998	4302	2460	2328
ENSG00000143845	450	471	4622	4354
ENSG00000143847	365	106	145	157
ENSG00000143850	444	481	980	1043
ENSG00000143851	4	1	24	13
ENSG00000143858	561	333	83	81
ENSG00000143862	428	431	427	447
ENSG00000143867	0	1	3	7
ENSG00000143869	25	62	224	208
ENSG00000143870	8303	10871	7587	7201
ENSG00000143878	277	420	1981	1954
ENSG00000143882	44	46	11	29
ENSG00000143889	1340	1145	719	690
ENSG00000143891	215	317	3343	3034
ENSG00000143919	299	229	154	128
ENSG00000143921	2	5	93	62
ENSG00000143924	4218	3169	3474	3066
ENSG00000143933	8005	7811	2927	2731
ENSG00000143942	110	121	30	25
ENSG00000143947	15720	19321	6102	5071
ENSG00000143951	854	359	352	366
ENSG00000143952	552	506	635	624
ENSG00000143954	0	0	1	1
ENSG00000143970	1735	1323	665	659
ENSG00000143971	699	702	188	235
ENSG00000143977	1406	1814	760	657
ENSG00000143994	12	5	5	9
ENSG00000143995	5	2	136	150
ENSG00000144010	0	0	0	0
ENSG00000144021	1387	1377	2339	2251
ENSG00000144026	927	881	614	634
ENSG00000144028	11344	8641	4743	4192
ENSG00000144029	1022	1331	793	832
ENSG00000144031	7	2	33	20
ENSG00000144036	1444	1117	1066	1017
ENSG00000144040	500	354	1668	1487
ENSG00000144043	715	642	1436	1270
ENSG00000144045	26	19	72	53
ENSG00000144057	400	406	28	39
ENSG00000144061	79	43	17	12
ENSG00000144063	199	148	421	415
ENSG00000144115	264	178	594	569
ENSG00000144118	512	517	1298	1288
ENSG00000144119	10	3	11	18
ENSG00000144120	362	475	531	480
ENSG00000144130	0	0	1	4
ENSG00000144134	168	128	216	214
ENSG00000144136	1691	1092	4644	3911
ENSG00000144152	12	18	26	24
ENSG00000144158	0	0	0	0
ENSG00000144161	343	307	202	176
ENSG00000144182	129	144	71	74
ENSG00000144191	0	0	0	2
ENSG00000144214	11	7	13	15
ENSG00000144218	43	33	167	167
ENSG00000144224	2497	2237	6289	6418
ENSG00000144227	81	55	11	13
ENSG00000144228	444	385	1483	1486
ENSG00000144229	42	31	127	136
ENSG00000144230	0	0	3	4
ENSG00000144231	1566	1774	723	671
ENSG00000144233	1232	957	1567	1372
ENSG00000144278	213	247	122	117
ENSG00000144283	3382	2511	2543	2448
ENSG00000144285	24	13	1	6
ENSG00000144290	29	2	2	2
ENSG00000144306	551	456	304	300
ENSG00000144320	356	328	761	803
ENSG00000144331	55	32	130	112
ENSG00000144339	22	21	1	1
ENSG00000144354	2047	1603	43	43
ENSG00000144357	602	492	1594	1637
ENSG00000144362	100	88	59	67
ENSG00000144366	2131	1408	1336	1537
ENSG00000144369	797	682	171	177
ENSG00000144381	24450	36922	8149	7674
ENSG00000144395	368	373	380	435
ENSG00000144401	634	703	336	349
ENSG00000144406	170	150	199	152
ENSG00000144407	16	11	16	17
ENSG00000144410	10	14	0	3
ENSG00000144426	374	270	1554	1597
ENSG00000144445	323	291	197	222
ENSG00000144451	257	262	206	185
ENSG00000144452	3	0	3	1
ENSG00000144455	324	259	506	477
ENSG00000144460	5	7	10	11
ENSG00000144468	769	716	565	522
ENSG00000144476	36	17	172	149
ENSG00000144481	8	0	0	3
ENSG00000144485	287	636	46	72
ENSG00000144488	49	25	1	8
ENSG00000144504	106	95	156	125
ENSG00000144524	1513	1577	867	800
ENSG00000144535	451	440	248	246
ENSG00000144550	100	78	0	0
ENSG00000144554	2598	2138	191	179
ENSG00000144559	246	239	129	118
ENSG00000144560	981	844	858	797
ENSG00000144566	2073	2009	1180	1117
ENSG00000144567	783	790	1808	1674
ENSG00000144579	442	237	1435	1326
ENSG00000144580	2471	1762	1035	928
ENSG00000144583	111	25	0	0
ENSG00000144589	470	335	295	284
ENSG00000144591	416	549	919	962
ENSG00000144596	392	182	932	926
ENSG00000144597	1376	1164	3224	2876
ENSG00000144619	35	33	1553	1549
ENSG00000144635	1341	1184	1120	1092
ENSG00000144642	86	140	261	208
ENSG00000144644	40	49	158	191
ENSG00000144645	1250	1623	739	897
ENSG00000144647	214	298	283	286
ENSG00000144648	5	4	38	31
ENSG00000144649	4375	2337	1587	1837
ENSG00000144655	261	219	713	726
ENSG00000144659	934	896	1638	1431
ENSG00000144671	0	1	11	17
ENSG00000144674	2814	2938	4543	4914
ENSG00000144677	868	1182	361	381
ENSG00000144681	266	214	18	17
ENSG00000144711	1302	1031	1735	1768
ENSG00000144712	283	204	26	28
ENSG00000144713	8822	12938	3732	3472
ENSG00000144724	3517	2720	1276	1342
ENSG00000144730	1139	1926	224	257
ENSG00000144736	571	506	399	346
ENSG00000144741	394	361	231	189
ENSG00000144744	1572	1529	1021	1014
ENSG00000144746	686	772	1162	1053
ENSG00000144747	697	716	1272	1316
ENSG00000144749	4418	2978	156	153
ENSG00000144771	0	1	2	0
ENSG00000144785	264	305	228	226
ENSG00000144791	1712	1635	2122	2144
ENSG00000144802	349	210	173	164
ENSG00000144810	31	31	55	53
ENSG00000144815	691	682	75	92
ENSG00000144820	0	0	73	72
ENSG00000144821	10	16	8	3
ENSG00000144824	704	808	2133	2182
ENSG00000144827	531	621	783	786
ENSG00000144834	39	25	0	0
ENSG00000144837	0	0	69	59
ENSG00000144840	581	405	405	410
ENSG00000144843	156	70	113	84
ENSG00000144847	103	45	575	559
ENSG00000144848	848	881	962	873
ENSG00000144852	16	30	8	6
ENSG00000144857	284	51	8	13
ENSG00000144867	633	921	2006	1774
ENSG00000144868	225	283	91	75
ENSG00000144891	0	3	23	33
ENSG00000144893	688	458	1099	1042
ENSG00000144895	1560	1927	897	834
ENSG00000144908	48	27	792	671
ENSG00000144909	955	601	1679	1658
ENSG00000144935	526	354	290	284
ENSG00000144959	113	117	100	100
ENSG00000144962	0	1	0	0
ENSG00000145002	249	169	59	60
ENSG00000145012	2465	2283	5037	5329
ENSG00000145014	240	189	96	110
ENSG00000145016	519	430	394	399
ENSG00000145020	845	767	777	655
ENSG00000145022	153	119	385	341
ENSG00000145029	244	170	269	266
ENSG00000145040	2	0	8	12
ENSG00000145041	1434	1119	623	544
ENSG00000145050	688	1191	1251	1114
ENSG00000145087	108	73	29	25
ENSG00000145088	72	101	18	11
ENSG00000145103	64	40	5	13
ENSG00000145107	9	9	5	2
ENSG00000145113	48	0	0	0
ENSG00000145147	207	211	273	239
ENSG00000145191	823	830	721	729
ENSG00000145192	5	10	42991	33111
ENSG00000145194	36	12	0	0
ENSG00000145198	10	5	15	23
ENSG00000145214	317	237	487	578
ENSG00000145216	1590	1261	1096	1043
ENSG00000145217	4	2	282	313
ENSG00000145220	686	724	102	112
ENSG00000145241	680	559	220	234
ENSG00000145242	1	0	4	3
ENSG00000145244	4	5	16	17
ENSG00000145246	108	47	317	329
ENSG00000145247	498	857	460	398
ENSG00000145248	22	12	104	118
ENSG00000145283	1	0	0	2
ENSG00000145284	69	70	2845	2610
ENSG00000145287	19	7	136	152
ENSG00000145293	1737	1919	1410	1364
ENSG00000145309	3	0	2	0
ENSG00000145321	0	0	1	1
ENSG00000145331	117	72	163	170
ENSG00000145332	280	267	539	576
ENSG00000145335	168	135	271	220
ENSG00000145337	727	923	1079	1011
ENSG00000145348	490	239	526	496
ENSG00000145349	454	577	6684	6619
ENSG00000145354	663	581	878	877
ENSG00000145358	142	116	132	114
ENSG00000145362	2125	845	544	409
ENSG00000145365	50	39	353	344
ENSG00000145375	386	389	111	130
ENSG00000145384	0	0	1	2
ENSG00000145386	2570	2450	192	172
ENSG00000145388	875	753	830	761
ENSG00000145390	467	586	668	704
ENSG00000145391	281	458	1313	1446
ENSG00000145414	521	537	180	182
ENSG00000145416	20	39	7	7
ENSG00000145423	4866	12154	0	0
ENSG00000145428	193	106	0	2
ENSG00000145431	46	33	435	518
ENSG00000145439	947	865	599	617
ENSG00000145451	9	3	2	1
ENSG00000145476	148	96	307	241
ENSG00000145491	1	1	1	2
ENSG00000145494	1036	1405	588	615
ENSG00000145495	3474	2944	3890	3681
ENSG00000145506	53	65	43	58
ENSG00000145526	15	5	31	27
ENSG00000145536	244	471	823	777
ENSG00000145545	917	764	523	444
ENSG00000145555	7393	4166	1035	1100
ENSG00000145569	183	172	31	30
ENSG00000145592	11465	14354	5133	4124
ENSG00000145604	1750	1322	8563	8566
ENSG00000145623	92	43	166	139
ENSG00000145626	90	95	1417	1052
ENSG00000145632	170	225	919	693
ENSG00000145642	68	97	4	1
ENSG00000145649	0	0	1	0
ENSG00000145675	489	532	2112	2184
ENSG00000145681	281	373	1	0
ENSG00000145685	1232	1475	1961	1913
ENSG00000145687	1105	821	123	114
ENSG00000145692	19	1	1189	983
ENSG00000145700	8	3	7	4
ENSG00000145703	1988	1932	4800	4376
ENSG00000145708	4	1	17	26
ENSG00000145715	1524	1061	780	728
ENSG00000145721	22	1	8	5
ENSG00000145723	145	101	77	75
ENSG00000145725	1219	960	1663	1658
ENSG00000145730	1091	812	1315	1082
ENSG00000145734	949	855	460	463
ENSG00000145736	334	228	273	211
ENSG00000145740	825	1112	1745	1656
ENSG00000145741	8368	9361	2929	2218
ENSG00000145743	87	52	336	408
ENSG00000145757	1	0	20	27
ENSG00000145777	25	25	6	5
ENSG00000145779	446	420	151	161
ENSG00000145780	775	664	666	563
ENSG00000145781	652	701	274	278
ENSG00000145782	1034	1122	863	907
ENSG00000145794	1144	652	7	8
ENSG00000145808	1159	1174	274	295
ENSG00000145817	708	995	2036	2141
ENSG00000145819	746	550	3646	3676
ENSG00000145824	21	30	21	32
ENSG00000145826	0	0	0	1
ENSG00000145832	21	18	62	50
ENSG00000145833	3440	2098	1327	1401
ENSG00000145835	0	0	0	0
ENSG00000145839	0	0	0	0
ENSG00000145850	0	2	15	10
ENSG00000145860	1964	2194	338	338
ENSG00000145861	13	3	0	1
ENSG00000145863	0	0	1	0
ENSG00000145864	18	28	5	8
ENSG00000145868	907	776	1109	1124
ENSG00000145879	0	0	0	0
ENSG00000145882	405	448	27	26
ENSG00000145888	0	0	0	1
ENSG00000145901	579	544	788	727
ENSG00000145907	14783	12087	4538	4641
ENSG00000145908	696	462	61	47
ENSG00000145911	1146	1307	52	47
ENSG00000145912	1664	2579	508	482
ENSG00000145916	1317	1176	497	453
ENSG00000145919	2354	2491	928	926
ENSG00000145920	27	9	0	5
ENSG00000145934	45	29	2	1
ENSG00000145936	21	25	18	24
ENSG00000145945	43	37	43	31
ENSG00000145949	16	6	40	47
ENSG00000145975	1	1	0	0
ENSG00000145979	497	683	1052	1144
ENSG00000145982	154	134	133	116
ENSG00000145990	259	366	72	85
ENSG00000145996	499	456	234	244
ENSG00000146005	30	42	7	3
ENSG00000146006	0	0	0	1
ENSG00000146007	1739	1939	1321	1072
ENSG00000146013	26	17	3	4
ENSG00000146021	657	286	289	309
ENSG00000146038	16	12	44	56
ENSG00000146039	0	0	123	132
ENSG00000146047	0	0	0	0
ENSG00000146054	11	13	3	12
ENSG00000146063	984	684	840	879
ENSG00000146066	953	1398	1190	1111
ENSG00000146067	884	478	1357	1393
ENSG00000146070	86	57	235	218
ENSG00000146072	1166	1650	1537	1648
ENSG00000146083	3720	2868	473	564
ENSG00000146085	551	489	941	826
ENSG00000146090	9	15	7	8
ENSG00000146094	108	21	269	266
ENSG00000146109	474	559	571	557
ENSG00000146112	131	152	237	236
ENSG00000146122	117	63	45	47
ENSG00000146143	829	839	245	237
ENSG00000146147	2	2	103	77
ENSG00000146151	4	3	30	13
ENSG00000146166	3	3	1236	1159
ENSG00000146192	8	2	5	1
ENSG00000146197	204	39	171	195
ENSG00000146205	85	74	20	11
ENSG00000146215	218	321	93	75
ENSG00000146216	47	13	317	360
ENSG00000146221	7	7	2	1
ENSG00000146223	3692	3537	2723	2608
ENSG00000146232	183	148	109	111
ENSG00000146233	31	16	41	37
ENSG00000146242	213	324	167	171
ENSG00000146243	226	207	37	25
ENSG00000146247	4075	2697	1124	1225
ENSG00000146250	39	38	952	910
ENSG00000146263	1060	722	347	373
ENSG00000146267	328	255	336	327
ENSG00000146276	3	3	2	2
ENSG00000146278	439	284	717	660
ENSG00000146281	329	123	268	357
ENSG00000146282	1036	1072	1500	1310
ENSG00000146285	10	11	148	164
ENSG00000146350	218	155	89	82
ENSG00000146352	30	23	34	51
ENSG00000146360	0	1	0	0
ENSG00000146373	285	207	316	402
ENSG00000146374	2	0	640	837
ENSG00000146376	86	81	537	565
ENSG00000146378	0	0	0	0
ENSG00000146383	0	0	0	0
ENSG00000146385	0	0	0	0
ENSG00000146386	1097	1290	1658	1719
ENSG00000146399	0	0	0	0
ENSG00000146409	605	611	283	227
ENSG00000146410	117	203	21	16
ENSG00000146411	239	172	128	139
ENSG00000146414	1399	863	821	826
ENSG00000146416	525	652	1930	1571
ENSG00000146425	706	926	1048	884
ENSG00000146426	428	476	351	358
ENSG00000146433	1847	1642	1571	1691
ENSG00000146453	9	2	10	9
ENSG00000146457	2376	1432	1588	1483
ENSG00000146463	3048	2064	1470	1423
ENSG00000146469	0	0	1	3
ENSG00000146476	1595	1416	3466	3403
ENSG00000146477	130	41	949	987
ENSG00000146530	1270	1359	83	103
ENSG00000146535	2278	2962	909	870
ENSG00000146540	384	491	689	674
ENSG00000146555	548	448	66	68
ENSG00000146556	124	135	191	194
ENSG00000146574	1066	849	453	412
ENSG00000146576	387	363	422	410
ENSG00000146587	689	625	701	762
ENSG00000146592	24	50	34	47
ENSG00000146618	0	0	0	0
ENSG00000146648	207	169	6947	6936
ENSG00000146670	1879	2426	139	125
ENSG00000146674	228	59	862	710
ENSG00000146676	2299	2256	1154	1188
ENSG00000146677	0	1	0	0
ENSG00000146678	0	0	0	1
ENSG00000146700	382	439	45	35
ENSG00000146701	4365	6114	3489	3198
ENSG00000146707	76	114	32	32
ENSG00000146722	0	0	0	0
ENSG00000146729	1193	1763	1127	992
ENSG00000146731	7040	7376	6234	5902
ENSG00000146733	1749	1465	5110	4524
ENSG00000146755	0	0	10	9
ENSG00000146757	867	1026	400	471
ENSG00000146776	909	935	374	366
ENSG00000146802	564	462	382	368
ENSG00000146809	0	0	0	2
ENSG00000146826	270	228	468	503
ENSG00000146828	944	579	1786	1677
ENSG00000146830	3625	1671	787	822
ENSG00000146833	210	134	562	547
ENSG00000146834	1192	888	884	810
ENSG00000146839	0	0	3	2
ENSG00000146842	833	728	372	393
ENSG00000146856	14	19	482	420
ENSG00000146857	0	0	1	1
ENSG00000146858	73	36	97	79
ENSG00000146859	21	11	421	401
ENSG00000146872	1473	1158	1016	1019
ENSG00000146909	935	749	427	465
ENSG00000146910	0	0	3	2
ENSG00000146918	3796	2405	368	388
ENSG00000146926	0	0	0	0
ENSG00000146938	3622	3497	180	185
ENSG00000146950	644	494	441	456
ENSG00000146955	64	64	27	25
ENSG00000146963	1872	1366	1816	1714
ENSG00000146966	349	241	49	64
ENSG00000147003	77	56	94	91
ENSG00000147010	829	434	750	721
ENSG00000147027	859	740	493	513
ENSG00000147036	18	11	30	37
ENSG00000147041	14	3	1389	1162
ENSG00000147044	2335	1884	2335	2237
ENSG00000147050	1971	3980	1444	1300
ENSG00000147059	41	93	52	36
ENSG00000147065	5150	5822	2782	2449
ENSG00000147081	0	0	0	0
ENSG00000147082	9	6	9	12
ENSG00000147099	368	298	354	297
ENSG00000147100	1706	2314	6577	6183
ENSG00000147113	2	3	4	3
ENSG00000147117	29	29	8	17
ENSG00000147118	384	342	270	236
ENSG00000147119	100	165	57	71
ENSG00000147121	179	134	306	259
ENSG00000147123	907	1358	1214	1148
ENSG00000147124	229	171	95	96
ENSG00000147127	0	0	0	0
ENSG00000147130	4381	2286	2831	2452
ENSG00000147133	1901	1255	726	689
ENSG00000147138	2	0	0	1
ENSG00000147140	18266	14263	9314	8202
ENSG00000147144	40	36	196	20
ENSG00000147145	300	196	5	1
ENSG00000147155	1101	1820	5502	4493
ENSG00000147160	0	0	1	1
ENSG00000147162	7743	5534	4352	3894
ENSG00000147164	1775	2017	2983	2432
ENSG00000147166	27	10	37	31
ENSG00000147168	0	0	35	17
ENSG00000147174	32	21	50	57
ENSG00000147180	957	618	1001	905
ENSG00000147183	0	1	0	0
ENSG00000147202	1113	1133	100	103
ENSG00000147206	0	0	3	5
ENSG00000147223	0	0	1	5
ENSG00000147224	3000	5405	470	393
ENSG00000147231	75	54	214	231
ENSG00000147234	56	112	6	4
ENSG00000147246	120	132	3	2
ENSG00000147251	727	340	488	423
ENSG00000147255	933	789	11146	9905
ENSG00000147256	12	3	0	0
ENSG00000147257	1777	1009	28334	23847
ENSG00000147262	2	0	12	20
ENSG00000147274	8868	9574	2504	2686
ENSG00000147316	751	587	428	388
ENSG00000147324	1979	908	539	522
ENSG00000147364	271	310	482	419
ENSG00000147378	0	2	0	0
ENSG00000147381	46	39	1	1
ENSG00000147383	377	648	1984	1623
ENSG00000147400	383	477	704	586
ENSG00000147403	22959	27300	8538	6442
ENSG00000147408	7	3	1017	1070
ENSG00000147416	1898	1595	2346	2193
ENSG00000147419	1498	1566	1109	939
ENSG00000147421	327	184	382	345
ENSG00000147432	2	0	2	2
ENSG00000147434	0	0	4	11
ENSG00000147437	40	34	49	35
ENSG00000147439	293	354	309	259
ENSG00000147443	1	2	0	1
ENSG00000147454	1471	1573	1054	1140
ENSG00000147457	700	808	808	812
ENSG00000147459	663	305	1226	1180
ENSG00000147465	54	35	1373	1486
ENSG00000147471	496	565	730	699
ENSG00000147475	1823	1547	4654	4574
ENSG00000147481	23	30	1	0
ENSG00000147485	11	0	9	11
ENSG00000147488	1	0	2	1
ENSG00000147509	5	5	0	0
ENSG00000147526	563	317	613	667
ENSG00000147533	874	945	999	1087
ENSG00000147535	715	1056	667	640
ENSG00000147536	1426	1162	197	217
ENSG00000147548	2670	1775	1331	1396
ENSG00000147570	1	3	6	6
ENSG00000147571	0	0	0	0
ENSG00000147573	2	0	8	5
ENSG00000147576	104	41	423	395
ENSG00000147586	359	424	303	252
ENSG00000147588	0	0	0	0
ENSG00000147592	323	266	331	241
ENSG00000147596	1141	600	1	1
ENSG00000147601	12973	13061	504	626
ENSG00000147604	22211	30095	8322	6976
ENSG00000147606	6	5	20	15
ENSG00000147613	21	4	0	0
ENSG00000147614	0	0	9	8
ENSG00000147642	13	6	205	219
ENSG00000147647	21	7	2485	1729
ENSG00000147649	1477	1313	2223	2469
ENSG00000147650	464	401	155	154
ENSG00000147654	334	334	241	240
ENSG00000147655	18	7	1	0
ENSG00000147669	618	934	490	518
ENSG00000147676	3586	2865	831	962
ENSG00000147677	5403	6914	1786	1580
ENSG00000147679	347	333	187	213
ENSG00000147684	1667	2179	1431	1304
ENSG00000147689	2	2	0	0
ENSG00000147697	2	3	1	1
ENSG00000147724	3	6	64	43
ENSG00000147789	357	364	349	335
ENSG00000147799	340	257	259	314
ENSG00000147804	12	11	35	24
ENSG00000147813	91	67	127	137
ENSG00000147852	1818	4512	229	253
ENSG00000147853	805	918	2778	2854
ENSG00000147854	1429	1073	1371	1536
ENSG00000147862	261	220	12	12
ENSG00000147869	70	159	0	9
ENSG00000147872	996	696	6680	6764
ENSG00000147873	0	0	0	1
ENSG00000147874	2592	2177	552	568
ENSG00000147883	3	1	33	50
ENSG00000147885	0	0	0	0
ENSG00000147889	0	1	2	0
ENSG00000147894	673	644	229	241
ENSG00000147896	0	0	0	0
ENSG00000147905	872	947	332	321
ENSG00000147912	672	252	388	366
ENSG00000147955	1339	1679	1910	1730
ENSG00000147996	470	374	1605	1681
ENSG00000148019	1338	829	997	1017
ENSG00000148053	5	2	86	90
ENSG00000148057	14	8	116	104
ENSG00000148082	130	222	21	16
ENSG00000148090	359	273	213	219
ENSG00000148110	1134	1075	762	857
ENSG00000148120	173	84	324	254
ENSG00000148123	22	8	19	27
ENSG00000148136	0	0	0	0
ENSG00000148143	2957	1086	582	574
ENSG00000148153	536	495	737	730
ENSG00000148154	906	1019	1819	1936
ENSG00000148156	0	0	0	0
ENSG00000148158	1458	1014	2099	2246
ENSG00000148175	1337	1045	747	799
ENSG00000148180	997	705	16040	14290
ENSG00000148187	582	518	335	286
ENSG00000148200	7301	3894	4165	4033
ENSG00000148204	349	28	38	50
ENSG00000148215	0	0	0	0
ENSG00000148218	428	409	1475	1361
ENSG00000148219	606	447	425	381
ENSG00000148225	59	35	64	81
ENSG00000148229	1363	1280	562	519
ENSG00000148288	80	151	109	99
ENSG00000148308	1448	1479	812	685
ENSG00000148331	440	441	432	446
ENSG00000148334	731	835	397	384
ENSG00000148335	356	610	318	287
ENSG00000148337	1347	958	938	1034
ENSG00000148339	410	461	345	353
ENSG00000148341	819	692	795	813
ENSG00000148343	575	361	569	608
ENSG00000148344	56	43	3	6
ENSG00000148346	3	2	0	0
ENSG00000148356	449	308	475	479
ENSG00000148357	1051	291	44	43
ENSG00000148358	2611	2948	4131	4002
ENSG00000148362	173	233	122	120
ENSG00000148377	2	2	0	3
ENSG00000148384	491	300	297	289
ENSG00000148386	88	7	37	36
ENSG00000148396	2665	1989	3335	3395
ENSG00000148399	504	520	472	469
ENSG00000148400	2205	1520	18	20
ENSG00000148408	452	459	65	59
ENSG00000148411	858	599	1495	1621
ENSG00000148426	163	123	424	474
ENSG00000148429	968	745	283	246
ENSG00000148444	26	32	390	304
ENSG00000148450	166	192	336	266
ENSG00000148459	224	175	133	116
ENSG00000148468	1167	1080	752	747
ENSG00000148481	301	245	414	390
ENSG00000148482	0	0	2	1
